Input,Gematria Value,Prime?
"וַיֹּאמֶר יְהוָה, אֶעֱשֶׂה אָדָם בְּצַלְמִי כִּדְּמוּתִי",258,Composite
"וַיֹּאמֶר אֵלָיו, אֲשֶׁר הוֹצֵאתִיךָ מֵאוּר כַּשְׂדִּים, לָתֶת לְךָ אֶת-הָאָרֶץ הַזֹּאת, לְרִשְׁתָּהּ.",554,Composite
"וַיֹּאמֶר אֵלָיו, יְהוָה אֲשֶׁר הוֹצֵאתִיךָ מֵאוּר כַּשְׂדִּים, לָתֶת לְךָ אֶת-הָאָרֶץ הַזֹּאת, לְרִשְׁתָּהּ.",580,Composite
אֶהְיֶה אֲשֶׁר אֶהְיֶה,84,Composite
אֶהְיֶה אֲשֶׁר הְיֶה,83,✅Prime!✅
יהְיֶה אֲשֶׁר יהְיֶה,102,Composite
יהְוה אֲשֶׁר יהְוה,94,Composite
יהְיֶהוה אֲשֶׁר אֶהְיֶה,104,Composite
יהְיֶהוה אֲשֶׁר אֶהְיֶהוה,115,Composite
אֶהְ אֲשֶׁר אֶהְ,54,Composite
וַיֹּ֤אמֶראֱלֹהִים֙אֶל־מֹשֶׁ֔האֶֽהְיֶ֖האֲשֶׁ֣ראֶֽהְיֶ֑ה,227,✅Prime!✅
וַיֹּ֤אמֶראֱלֹהִים֙אֶל־מֹשֶׁ֔האֶֽהְיֶ֖האֲשֶׁ֣ראֶֽהְיֶ֑הוַיֹּ֗אמֶרכֹּ֤התֹאמַר֙לִבְנֵ֣ייִשְׂרָאֵ֔לאֶֽהְיֶ֖השְׁלָחַ֥נִיאֲלֵיכֶֽם,584,Composite
וַיֹּ֤אמֶר אֱלֹהִים֙ אֶל־מֹשֶׁ֔ה אֶֽהְיֶ֖ה אֲשֶׁ֣ר אֶֽהְיֶ֑ה וַיֹּ֗אמֶר כֹּ֤ה תֹאמַר֙ לִבְנֵ֣י יִשְׂרָאֵ֔ל אֶֽהְיֶ֖ה שְׁלָחַ֥נִי אֲלֵיכֶֽם׃,584,Composite
"וַיְצַו יְהוָה , עַל-הָאָדָם לֵאמֹר: מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל",325,Composite
"וַיְצַו יְהוָה אֱלֹהִים, -הָאָדָם לֵאמֹר: מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל",338,Composite
"וַיְצַו יְהוָה , -הָאָדָם לֵאמֹר: מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל",297,Composite
"וַיְצַו  , -הָאָדָם לֵאמֹר: מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל",271,✅Prime!✅
"וַיְצַו הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",271,✅Prime!✅
"וַיְצַו יְהוָה אֱלֹהִים, עַל-הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",366,Composite
"יִּקַּח יְהוָה אֱלֹהִים, אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",368,Composite
"יִּקַּח, אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",301,Composite
"יִּקַּח, הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",278,Composite
"הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",241,✅Prime!✅
"וַיִּטַּע יְהוָה אֱלֹהִים, גַּן-בְּעֵדֶן--מִקֶּדֶם; וַיָּשֶׂם שָׁם, אֶת-הָאָדָם אֲשֶׁר יָצָר.",430,Composite
"וַיִּטַּע יְהוָה , גַּן-בְּעֵדֶן--מִקֶּדֶם; וַיָּשֶׂם שָׁם, אֶת-הָאָדָם אֲשֶׁר יָצָר.",389,✅Prime!✅
"וַיַּצְמַח יְהוָה אֱלֹהִים, מִן-הָאֲדָמָה, כָּל-עֵץ נֶחְמָד לְמַרְאֶה, וְטוֹב לְמַאֲכָל--וְעֵץ הַחַיִּים, בְּתוֹךְ הַגָּן, וְעֵץ, הַדַּעַת טוֹב וָרָע.",691,✅Prime!✅
"וַיְצַו יְהוָה אֱלֹהִים, עַל-הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",366,Composite
"וַיְצַו יְהוָה אֱלֹהִים, עַל-הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",366,Composite
"וַיְצַו , עַל-הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",299,Composite
"וַיְצַו ,הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",271,✅Prime!✅
"וַיִּקַּח יְהוָה אֱלֹהִים, אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",374,Composite
"הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ. → 241 (✅Prime!✅)",241,✅Prime!✅
"וַיְצַו יְהוָה אֱלֹהִים, עַל-הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",366,Composite
"וַיְצַו יְהוָה אֱלֹהִים, עַל-הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",366,Composite
"וַיְצַו  ,הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",271,✅Prime!✅
"וַיִּקַּח יְהוָה אֱלֹהִים, אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",374,Composite
"וַיִּקַּח הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",284,Composite
"וַיִּקַּח  אֱלֹהִים, אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",348,Composite
"וַיִּקַּח יְהוָה, אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",333,Composite
"וַיִּקַּח יְהוָה אֱלֹהִים, אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",374,Composite
"וַיִּקַּח  הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",284,Composite
"וַיִּקַּח  , אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",307,✅Prime!✅
"וַיִּקַּח הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",284,Composite
"וַיִּקַּח אתהָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",307,✅Prime!✅
"וַיְצַו יְהוָה אֱלֹהִים, עַל-הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.",366,Composite
וַיֹּ֤אמֶר אֱלֹהִים֙ אֶל־מֹשֶׁ֔ה אֶֽהְיֶ֖ה אֲשֶׁ֣ר אֶֽהְיֶ֑ה,227,✅Prime!✅
"וַיִּקַּח , אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",307,✅Prime!✅
"וַיִּטַּע יְהוָה , גַּן-בְּעֵדֶן--מִקֶּדֶם; וַיָּשֶׂם שָׁם, אֶת-הָאָדָם אֲשֶׁר יָצָר.",389,✅Prime!✅
"וַיְצַו יְהוָה אֱלֹהִים, עַל-הָאָדָם לֵאמֹר: מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל",366,Composite
"הָאָדָם לֵאמֹר: מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל",231,Composite
"וַיְצַו אָדָם לֵאמֹר: מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל",266,Composite
"וַיְצַו לֵאמֹר: מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל",248,Composite
"וַיֹּאמֶר , את-נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",288,Composite
"וַיֹּאמֶר יהוה, את-נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",314,Composite
"וַיֹּאמֶר יְהוָה אֱלֹהִים, נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",332,Composite
"וַיֹּאמֶר יְהוָה אֱלֹהִים,את-נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",355,Composite
"וַיֹּאמֶר יְהוָה ,את-נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",314,Composite
"וַיֹּאמֶר אֱלֹהִים,את-נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",329,Composite
שאשרת,85,Composite
שראת,64,Composite
ראת,43,✅Prime!✅
שסראת,79,✅Prime!✅
סראת,58,Composite
אחי,19,✅Prime!✅
וַיֹּאמֶר אוֹר וַיְהִי אוֹר,135,Composite
וַיֹּאמֶר אוֹר וַיְ אוֹר,120,Composite
וַיֹּאמֶר יהוה אוֹר וַיְ אוֹר,146,Composite
וַיֹּאמֶר אֱלֹהִים אוֹר וַיְהִי אוֹר,176,Composite
וַיֹּאמֶר יהוה אוֹר וַיְהִי אוֹר,161,Composite
וַיֹּאמֶר יהוה יְהִי אוֹר וַיְהִי אוֹר,186,Composite
וַיֹּאמֶר יהוה יְי אוֹר וַיְהִי אוֹר,181,✅Prime!✅
וַיִּיצֶר יְהוָה אֱלֹהִים אֶת־הָאָדָם עָפָר מִן־הָאֲדָמָה,285,Composite
ויצריהוהאלהיםאתהאדםעפרמןהאדמה,275,Composite
"וַיֹּאמֶר יהוה, נַעֲשֶׂה אָדָם בְּצַלְמֵנוּ כִּדְמוּתֵנוּ",291,Composite
וַיִּיצֶר יְהוָה אֱלֹהִים אֶת־הָאָדָם עָפָר מִן־הָאֲדָמָה,285,Composite
ויצריהוהאלהיםאתהאדםעפרמןהאדמה,275,Composite
וַיִּיצֶר יְהוָה אֱלֹהִים אֶת־הָאָדָם עָפָר מִן־הָאֲדָמָה,285,Composite
תור,48,Composite
יהתור,63,Composite
"הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",241,✅Prime!✅
"וַיִּקַּח יְהוָה יְהוָה, אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ",359,✅Prime!✅
"וַיִּקַּח , אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.",307,✅Prime!✅
אני יהריאל,83,✅Prime!✅
אני יהמראה,79,✅Prime!✅
יהושע,58,Composite
אני יהושע,83,✅Prime!✅
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן אֶל־פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה יְהוָ֔ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן אֶת־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְהִ֥י לְתַנִּֽין׃,834,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן אֶל־פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן אֶת־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְהִ֥י לְתַנִּֽין׃,808,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן אֶת־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְהִ֥י לְתַנִּֽין׃,795,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְהִ֥י לְתַנִּֽין׃,772,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃,757,✅Prime!✅
וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן אֶת־מַטֹּתָֽם׃,456,Composite
וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,433,✅Prime!✅
וַיִּקְרָ֨א גַּם־פַּרְעֹ֜ה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃,603,Composite
יְהוָה גַּם־פַּרְעֹ֜ה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃,573,Composite
וַיְהוָה גַּם־פַּרְעֹ֜ה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃,579,Composite
וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃,571,✅Prime!✅
"וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ 

וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃

וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃",1761,Composite
"וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ 

וַיִּקְרָ֨א גַּם־יְהוָה אתלַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃

וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃",1784,Composite
"וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ 

וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃

וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽוּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃",1746,Composite
"וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ 

וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃

וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־הֲרֹ֖ן מַטֹּתָֽם׃",1739,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1761,Composite
מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1742,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1710,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן יְהוָה צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1734,Composite
